ID,Company,HQ_City,HQ_Country,Founded_Year,Age_Verified,Stage,Round_Size,Currency,Round_Date,Valuation_M,Lead_Investor,Other_Investors,Category,One_Liner,Source_URL,Source_Type,Screen_Score,Deep_Dive_YN
1,Harmattan AI,Paris,FR,2024,YES,Series B,200,USD,2026-01,1400,Dassault Aviation,,UAS-Strike,Autonomous strike and surveillance drones plus C2 software; became a unicorn on this round,https://sifted.eu/articles/harmattan-ai-200m-series-b-unicorn,Press,,
2,Allen Control Systems,,US,,TBV,Series B,200,USD,2026-06,2200,,,Autonomy-Ground,Bullfrog autonomous weapon station for counter-drone gunnery,https://news.crunchbase.com/defense-tech/startup-venture-funding-all-time-record-ai-anduril/,Press,,
3,Defense Unicorns,,US,2021,YES,Series B,136,USD,2026-01,1000,Bain Capital,,C2-Software,Open-source infrastructure-agnostic platform to accredit and ship software into DoD networks,https://defenseunicorns.com/defense-unicorns-raises-136-million-series-b/,Press,,
4,Twenty,,US,,TBV,Series B,100,USD,2026,1000,Accel,"Khosla; Point72 Ventures; General Catalyst; In-Q-Tel; Caffeinated Capital",Cyber-Offensive,First VC-backed US offensive cyber warfare company; added $30M from Khosla at $1.2B in July 2026,https://www.prnewswire.com/news-releases/americas-first-vc-backed-cyber-warfare-startup-raises-100m-series-b-at-1b-valuation-302802401.html,Press,,
5,Terra Industries,London,NG,,TBV,Seed,52,USD,2026,,,,Other,Building Africa's first defence prime; closed seed in two tranches and opened a London office,https://www.tectonicdefense.com/exclusive-nigerias-terra-industries-raises-another-18m-to-close-52m-seed-round-opens-london-office/,Press,,
6,Uforce,,UA,2022,YES,Growth,50,USD,2026,,Shield Capital,Lakestar,Autonomy-Air,Unmanned systems for air land and sea; combat-tested in Ukraine,https://www.vestbee.com/insights/articles/europ-s-defence-top-deals-in-early-2026,Newsletter,,
7,Onodrim Industries,Amsterdam,NL,,TBV,Seed,40,EUR,2026,,,,Manufacturing,Defence manufacturing and multi-domain sensing platform scaling across Europe,https://www.vestbee.com/insights/articles/europ-s-defence-top-deals-in-early-2026,Newsletter,,
8,Skapion,,IL,,TBV,Seed,36,USD,2026,,,,Counter-UAS,Native counter-swarm system for simultaneous drone engagements; founded by Israeli air-defence veterans,https://www.calcalistech.com/ctechnews/article/skeqh33xzl,Press,,
9,Arkenstone Defense,,US,,TBV,Seed,35,USD,2026-07,,,,C2-Software,Came out of stealth to fix the Pentagon adoption gap for commercial tech,https://www.military.com/35m-defense-company-seed-launch-strives-to-ease-pentagon-startup-barriers,Press,,
10,Agon,,US,,TBV,Seed,30,USD,2026,,,,Other,Emerged from stealth with $30M; category not yet public,https://www.tectonicdefense.com/first-look-agon-emerges-from-stealth-with-30m-in-funding/,Press,,
11,TYTAN Technologies,Munich,DE,,TBV,Series A,30,EUR,2026,,Armira,NATO Innovation Fund,Counter-UAS,Autonomous interceptor drones for air defence; expanding manufacturing into Germany and Ukraine,https://www.vestbee.com/insights/articles/europ-s-defence-top-deals-in-early-2026,Newsletter,,
12,Frankenburg Technologies,,EE,,TBV,Series A,30,EUR,2026,,Plural,,Missiles,Low-cost interceptor missiles for counter-drone defence,https://www.vestbee.com/insights/articles/europ-s-defence-top-deals-in-early-2026,Newsletter,,
13,Hypersonica,,DE/UK,,TBV,Series A,23.3,EUR,2026,,Plural,,Missiles,Hypersonic missile systems for European defence,https://www.vestbee.com/insights/articles/europ-s-defence-top-deals-in-early-2026,Newsletter,,
14,Rilian,,US,,TBV,Seed,17.5,USD,2026-04,,8VC,"Tamarack Global; First In; 8090 Industries; Liquid 2; Protego",C2-Software,Agentic systems-integration tooling to deploy and manage security stacks for defence,https://siliconangle.com/2026/04/23/rilian-raises-17-5m-automate-security-software-procurement-deployment-defense-sector/,Press,,
15,Blue Water Autonomy,Boston,US,2024,YES,Seed,14,USD,2026,,Eclipse,Riot Ventures; Impatient Ventures,Autonomy-Maritime,Captain-less naval ships; founders from US Navy Amazon Robotics and iRobot,https://techcrunch.com/?p=2992822,Press,,
16,Buntar Aerospace,Kyiv,UA,,TBV,Growth,10.4,USD,2026,,,,UAS-ISR,Reconnaissance UAVs plus mission-support software,https://www.vestbee.com/insights/articles/europ-s-defence-top-deals-in-early-2026,Newsletter,,
